WithdrawalHistory(WH),RepeatHistory(RH),MaritalStatus(MS),Gender(GND),Age,District(DSRCT),Religion(RLGN),StudentType(ST),ProgrammeCode(PC),EmploymentStatus(ES),ODLCenter(OC),DisabilityIndicator(DI),Vulnarability(VNBLT),IncomeSource(IS),CurrentResidence(CR),Target
No,No,SINGLE,M,32,NTCHISI,Christian,GENERIC,BAAE,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,36,MWANZA,Christian,GENERIC,BABM,Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,33,MULANJE,Christian,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,33,PHALOMBE,,GENERIC,BAGI,Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,35,MZIMBA,,MATURE,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,36,CHITIPA,,MATURE,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,31,MZIMBA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,31,NTCHISI,,MATURE,BEXT,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,31,BALAKA,,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,26,MANGOCHI,,GENERIC,BAAE,Employed,LILONGWE,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,32,CHIKWAWA,,MATURE,BEXT,Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,32,NTCHISI,,GENERIC,BEXT,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,31,MULANJE,,GENERIC,BAGI,Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,27,THYOLO,,GENERIC,BAGI,Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,32,KARONGA,,MATURE,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,58,LILONGWE,,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,49,MZIMBA,,MATURE,BABM,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,31,KARONGA,,GENERIC,BAAE,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,33,SALIMA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,33,BALAKA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,30,CHIKWAWA,Christian ,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,31,PHALOMBE,Christian,MATURE,BEXT,Employed,BLANTYRE,,,,,Dropped
No,No,SINGLE,M,35,MCHINJI,Christian,MATURE,BAAE,Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,34,MCHINJI,Christian,MATURE,BAAE,Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,37,MCHINJI,Christian,MATURE,BAAE,Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,30,LILONGWE,CHRISTIAN,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,34,MCHINJI,Christian,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,25,MZIMBA,Christian,GENERIC,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,29,MCHINJI,,GENERIC,BAAE,Employed,LILONGWE,No disability,Vulnerability Youth,self,I stay within same district,Not Dropped
No,No,SINGLE,M,33,MZIMBA,Christian,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,38,BALAKA,,GENERIC,BAAE,Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,32,CHITIPA,,GENERIC,BAAE,Employed,MZUZU,,,,,Dropped
No,No,SINGLE,M,33,MANGOCHI,,GENERIC,BABM,Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,27,RUMPHI,,GENERIC,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,42,DEDZA,,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,29,THYOLO,,GENERIC,BAAE,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,31,KASUNGU,,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,0,CHITIPA,,GENERIC,BAAE,Employed,MZUZU,,,,,Dropped
No,No,SINGLE,M,34,DEDZA,,MATURE,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,28,NTCHEU,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,27,DOWA,,MATURE,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,32,KASUNGU,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,33,NKHOTAKOTA,,MATURE,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,35,MCHINJI,,MATURE,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,35,BALAKA ,,MATURE,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,31,KASUNGU,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,30,NKHATA-BAY,,MATURE,BAGI,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,29,RUMPHI,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,28,NSANJE,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,31,ZOMBA,,GENERIC,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,36,DOWA,,GENERIC,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,34,LILONGWE,,GENERIC,BAGI,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,31,DEDZA,,GENERIC,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,34,KARONGA,,GENERIC,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,30,ZOMBA,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,32,MZIMBA,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,29,DEDZA,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,29,NSANJE,,MATURE,BEXT,Employed,,,,,,Dropped
No,No,SINGLE,M,28,DOWA,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,34,NTCHEU,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,30,THYOLO,,MATURE,BAAE,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,35,CHITIPA,,MATURE,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,39,MACHINGA,,GENERIC,BEXT,Employed,BLANTYRE,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,32,DEDZA,,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,26,KARONGA,,GENERIC,BAAE,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,37,ZOMBA,,GENERIC,BEXT,Employed,BLANTYRE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,30,MULANJE,,GENERIC,BABM,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,38,NKHOTAKOTA,,GENERIC,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,32,NTCHISI,,GENERIC,BEXT,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,33,LILONGWE,,GENERIC,BABM,Employed,LILONGWE,No disability,Not Applicable,Scholarship,I stay around the centre,Not Dropped
No,No,SINGLE,M,35,CHIKWAWA,,GENERIC,BABM,Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,29,NTCHEU,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,26,CHIKWAWA,,GENERIC,BABM,Employed,BLANTYRE,No disability,"Qualified primary school teachers, teaching at CDSS",Scholarship,I stay within same district,Not Dropped
No,No,SINGLE,M,25,KASUNGU,,MATURE,BAAE,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,31,LILONGWE,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,34,LILONGWE,,MATURE,BABM,Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,30,MZIMBA,,MATURE,BEXT,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,27,SALIMA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,29,NTCHEU,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,30,DOWA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,26,PHALOMBE,,MATURE,BAAE,Employed,LILONGWE,,,,,Dropped
No,No,SINGLE,M,31,KARONGA,,MATURE,BABM,Employed,BLANTYRE,,,,,Not Dropped
No,No,SINGLE,M,31,ZOMBA,,MATURE,BAAE,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,30,MZIMBA,,MATURE,BEXT,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,34,MACHINGA,,MATURE,BAAE,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,31,KARONGA,,MATURE,BABM,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,28,DEDZA,,MATURE,BEXT,Employed,LILONGWE,,,,,Not Dropped
No,No,SINGLE,M,32,CHITIPA,,MATURE,BAAE,Employed,MZUZU,,,,,Not Dropped
No,No,SINGLE,M,33,LILONGWE,,MATURE,BAAE,Employed,LILONGWE,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Chikwawa,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,33,Karonga,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,35,Karonga,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,GENERIC,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BAAE,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BAAE,Employed,,No disability,"Qualified primary school teachers, teaching at CDSS",self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BABM,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BABM,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BAGI,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay within same district,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Employed,,No disability,Not Applicable,parents/Gurdian,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,,,MATURE,BEXT,Employed,,No disability,Not Applicable,self,I stay around the centre,Not Dropped
No,No,SINGLE,M,0,Balaka,,MATURE,BAAE,Employed,,,,,,Not Dropped
No,No,SINGLE,M,0,Blantyre,,MATURE,BEXT,Employed,,No disability,Not Applicable,parents/Gurdian,I stay within same district,Not Dropped
No,No,SINGLE,M,0,Lilongwe,,MATURE,BEXT,Employed,,,,,,Not Dropped
